id,name,alias,category,lead,rpm_repo,rpm_pkg,rpm_pg,deb_repo,deb_pkg,deb_pg
1780,hypopg,hypopg,FEAT,t,PGDG,hypopg_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-hypopg,"{17,16,15,14,13,12}"
1790,index_advisor,index_advisor,FEAT,t,PIGSTY,index_advisor_$v,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-index-advisor,"{17,16,15,14,13,12}"
1791,plan_filter,pg_plan_filter,FEAT,t,PIGSTY,pg_plan_filter_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-plan-filter,"{17,16,15,14,13,12}"
1800,imgsmlr,imgsmlr,FEAT,t,PIGSTY,imgsmlr_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-imgsmlr,"{17,16,15,14,13,12}"
1810,pg_ivm,pg_ivm,FEAT,t,PGDG,pg_ivm_$v*,"{17,16,15,14,13}",PIGSTY,postgresql-$v-pg-ivm,"{17,16,15,14,13}"
1820,pgmq,pgmq,FEAT,t,PIGSTY,pgmq_$v,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pgmq,"{17,16,15,14,13,12}"
1830,pgq,pgq,FEAT,t,PGDG,pgq_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-pgq3,"{17,16,15,14,13,12}"
1840,pg_cardano,pg_cardano,FEAT,t,PIGSTY,pg_cardano_$v,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-cardano,"{17,16,15,14,13,12}"
1850,rdkit,rdkit,FEAT,t,,,,PGDG,postgresql-$v-rdkit,"{16,15,14,13,12}"
1990,bloom,bloom,FEAT,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2000,pg_tle,pg_tle,LANG,t,PIGSTY,pg_tle_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-tle,"{17,16,15,14,13,12}"
2010,plv8,plv8,LANG,t,PIGSTY,plv8_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-plv8,"{17,16,15,14,13,12}"
2020,pllua,pllua,LANG,t,PGDG,pllua_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-pllua,"{17,16,15,14,13,12}"
2021,hstore_pllua,pllua,LANG,f,,,,PGDG,postgresql-$v-pllua,"{17,16,15,14,13,12}"
2030,plluau,pllua,LANG,f,PGDG,pllua_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-pllua,"{17,16,15,14,13,12}"
2031,hstore_plluau,pllua,LANG,f,,,,PGDG,postgresql-$v-pllua,"{17,16,15,14,13,12}"
2040,plprql,plprql,LANG,t,PIGSTY,plprql_$v,"{16,15,14,13,12}",PIGSTY,postgresql-$v-plprql,"{16,15,14,13,12}"
2050,pldbgapi,pldebugger,LANG,t,PGDG,pldebugger_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-pldebugger,"{17,16,15,14,13,12}"
